,occ_group,skill_category,no_stopwords_stemmed
0,basic,Mathematics,target estat mileston defens brief seri mathemat statist statist trial definit except corp qualifi analyst scientist classif seri classif mathemat seri mathemat seri classif statist seri seri classif statist seri scientist classif seri definit defens definit assur charg definit qualifi semest mathemat statist logic mathemat statist qualifi percentag percentag qualifi semest excess semest percentag semest mathemat statist logic mathemat statist qualifi semest mathemat statist logic mathemat statist qualifi percentag percentag qualifi semest percentag semest mathemat statist logic mathemat statist qualifi achiev curriculum achiev achiev curriculum curriculum societi membership societi qualifi semest mathemat statist logic mathemat statist qualifi percentag percentag qualifi semest excess semest percentag semest mathemat statist logic mathemat statist credenti interpret proof deposit link payment station determin move potenti potenti target potenti target questionnair determin error apprais incent award spous checklist questionnair format determin determin date apprais determin marriag version accredit
1,basic,Mathematics,analyst analyst analys analyst scientist statistician instrument make analyt analyst scientist analyt acquisit retent forecast revenu forecast analys invest analyt pipelin mentor math statist analyt acumen strength statist web analyt analyt deliver analys audienc return invest help trade math
2,basic,Mathematics,analys analyst scientist statistician instrument make analyst make creativ desir analyst guid maker analyt convers retent invest featur desir analyt math statist acumen powerpoint analyst invest bank hub math help internship admiss admiss
3,basic,Mathematics,masteri right masteri child achiev expens math math teacher masteri math moment masteri cut edg math curriculum math math mind math masteri help masteri princip teacher peer calendar allow achiev desir lesson cooper masteri masteri masteri demonstr belief achiev teacher
4,basic,Mathematics,masteri right masteri child achiev expens math math teacher masteri math moment masteri cut edg math curriculum math math mind math masteri help masteri princip teacher peer calendar allow achiev desir lesson cooper masteri masteri masteri demonstr belief achiev teacher
5,basic,Mathematics,masteri right masteri child achiev expens math math teacher masteri math moment masteri cut edg math curriculum math math mind math masteri help masteri princip teacher peer calendar allow achiev desir lesson cooper masteri masteri masteri demonstr belief achiev teacher
6,basic,Mathematics,masteri right masteri child achiev expens masteri iep teacher teacher iep intervent seri masteri intervent intervent read read math intervent read read math masteri iep amount classroom teacher classroom teacher classroom learner autism masteri peer calendar achiev desir lesson cooper masteri masteri masteri demonstr belief achiev teacher
7,basic,Mathematics,masteri right masteri child achiev expens masteri iep teacher teacher iep intervent seri masteri intervent intervent read read math masteri iep amount classroom teacher classroom teacher classroom learner autism masteri peer calendar achiev desir lesson cooper masteri masteri masteri demonstr belief achiev teacher
8,basic,Mathematics,masteri right masteri child achiev expens masteri iep teacher teacher iep intervent seri masteri intervent intervent read read math masteri iep amount classroom teacher classroom teacher classroom learner autism masteri peer calendar achiev desir lesson cooper masteri masteri masteri demonstr belief achiev teacher
9,basic,Mathematics,masteri right masteri child achiev expens masteri iep teacher teacher iep intervent seri masteri intervent intervent read read math masteri iep amount classroom teacher classroom teacher classroom learner autism masteri peer calendar achiev desir lesson cooper masteri masteri masteri demonstr belief achiev teacher
10,basic,Mathematics,masteri right masteri child achiev expens masteri iep teacher teacher iep intervent seri masteri intervent intervent read read math masteri iep amount classroom teacher classroom teacher classroom learner autism masteri peer calendar achiev desir lesson cooper masteri masteri masteri demonstr belief achiev teacher
11,basic,Mathematics,masteri right masteri child achiev expens masteri iep teacher teacher iep intervent seri masteri intervent intervent read read math masteri iep amount classroom teacher classroom teacher classroom learner autism masteri peer calendar achiev desir lesson cooper masteri masteri masteri demonstr belief achiev teacher
